,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
313,대파,얼음식혜,,,,,,,,,,,,,,,
314,시금치,양배추,,,,,,,,,,,,,,,
315,콩나물,,,,,,,,,,,,,,,,
316,콩나물,대파,,,,,,,,,,,,,,,
317,찌개용두부,,,,,,,,,,,,,,,,
318,양파,,,,,,,,,,,,,,,,
319,양파,콩나물,,,,,,,,,,,,,,,
320,중파,,,,,,,,,,,,,,,,
321,콩나물,,,,,,,,,,,,,,,,
322,당근,,,,,,,,,,,,,,,,
323,오이,,,,,,,,,,,,,,,,
324,브로컬리,당근,중파,찌개용두부,구운도시락김,,,,,,,,,,,,
325,가지,,,,,,,,,,,,,,,,
326,가지,,,,,,,,,,,,,,,,
327,어린잎채소,중파,구운도시락김,,,,,,,,,,,,,,
328,중파,찌개용두부,,,,,,,,,,,,,,,
329,오이,무,당근,느타리버섯,,,,,,,,,,,,,
330,당근,구운도시락김,,,,,,,,,,,,,,,
331,중파,,,,,,,,,,,,,,,,
332,시금치,,,,,,,,,,,,,,,,
333,중파,,,,,,,,,,,,,,,,
334,무,,,,,,,,,,,,,,,,
335,콩나물,,,,,,,,,,,,,,,,
336,찌개용두부,,,,,,,,,,,,,,,,
337,두부,,,,,,,,,,,,,,,,
338,두부,,,,,,,,,,,,,,,,
339,두부,,,,,,,,,,,,,,,,
340,찌개용두부,,,,,,,,,,,,,,,,
341,찌개용두부,,,,,,,,,,,,,,,,
342,두부,,,,,,,,,,,,,,,,
343,찌개용두부,,,,,,,,,,,,,,,,
344,두부,,,,,,,,,,,,,,,,
345,두부,,,,,,,,,,,,,,,,
346,두부,,,,,,,,,,,,,,,,
347,찌개용두부,,,,,,,,,,,,,,,,
348,찌개용두부,,,,,,,,,,,,,,,,
349,찌개용두부,,,,,,,,,,,,,,,,
350,두부,콩나물,당근,,,,,,,,,,,,,,
351,두부,콩나물,얼음식혜,,,,,,,,,,,,,,
352,앞다리불고기-성남용인,,,,,,,,,,,,,,,,
353,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,
354,유정란/친환경,대파,,,,,,,,,,,,,,,
355,유정란/친환경,,,,,,,,,,,,,,,,
356,유정란/친환경,,,,,,,,,,,,,,,,
357,유정란/친환경,,,,,,,,,,,,,,,,
358,대파,,,,,,,,,,,,,,,,
359,유정란/친환경,,,,,,,,,,,,,,,,
360,대파,,,,,,,,,,,,,,,,
361,시금치,팽이버섯,,,,,,,,,,,,,,,
362,시금치,,,,,,,,,,,,,,,,
363,시금치,,,,,,,,,,,,,,,,
364,콩나물,,,,,,,,,,,,,,,,
365,유정란/친환경,,,,,,,,,,,,,,,,
366,팽이버섯,양배추,,,,,,,,,,,,,,,
367,유정란/친환경,백미/유,,,,,,,,,,,,,,,
368,오이,사과/,,,,,,,,,,,,,,,
369,동물복지유정란,찌개용두부,,,,,,,,,,,,,,,
370,오이,,,,,,,,,,,,,,,,
371,중파,,,,,,,,,,,,,,,,
372,유정란/친환경,,,,,,,,,,,,,,,,
