,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
261,방울토마토/대추형,,,,,,,,,,,,,,,,,,
262,유정란/친환경,방울토마토/대추형,사과/,,,,,,,,,,,,,,,,
263,방울토마토/대추형,방울토마토/대추형,,,,,,,,,,,,,,,,,
264,유정란/친환경,,,,,,,,,,,,,,,,,,
265,두부,방울토마토/대추형,사과/,,,,,,,,,,,,,,,,
266,오이,방울토마토/대추형,사과/,,,,,,,,,,,,,,,,
267,오이,,,,,,,,,,,,,,,,,,
268,유정란/친환경,오이,양배추,,,,,,,,,,,,,,,,
269,유정란/친환경,,,,,,,,,,,,,,,,,,
270,유정란/친환경,방울토마토/대추형,,,,,,,,,,,,,,,,,
271,유정란/친환경,,,,,,,,,,,,,,,,,,
272,두부,오이,사과/,검은콩두유,,,,,,,,,,,,,,,
273,유정란/친환경,부추,양배추,,,,,,,,,,,,,,,,
274,오이,오이,,,,,,,,,,,,,,,,,
275,양파,오이,,,,,,,,,,,,,,,,,
276,양배추,,,,,,,,,,,,,,,,,,
277,유정란/친환경,,,,,,,,,,,,,,,,,,
278,유정란/친환경,오이,방울토마토/대추형,무,검은콩두유,,,,,,,,,,,,,,
279,오이,,,,,,,,,,,,,,,,,,
280,두부,유정란/친환경,방울토마토/대추형,검은콩두유,검은콩두유,양배추,,,,,,,,,,,,,
281,오이,방울토마토/대추형,검은콩두유,양배추,,,,,,,,,,,,,,,
282,사과,,,,,,,,,,,,,,,,,,
283,오이,방울토마토/대추형,,,,,,,,,,,,,,,,,
284,방울토마토/대추형,,,,,,,,,,,,,,,,,,
285,방울토마토/대추형,방울토마토/대추형,,,,,,,,,,,,,,,,,
286,오이,부추,,,,,,,,,,,,,,,,,
287,검은콩두유,,,,,,,,,,,,,,,,,,
288,검은콩두유,,,,,,,,,,,,,,,,,,
289,두부,오이,양배추,,,,,,,,,,,,,,,,
290,오이,사과,양배추,,,,,,,,,,,,,,,,
291,부추,,,,,,,,,,,,,,,,,,
292,유정란/친환경,,,,,,,,,,,,,,,,,,
293,유정란/친환경,,,,,,,,,,,,,,,,,,
294,부추,복숭아,,,,,,,,,,,,,,,,,
295,유정란/친환경,사과,,,,,,,,,,,,,,,,,
296,방울토마토/대추형,부추,당면,,,,,,,,,,,,,,,,
297,누룽지,,,,,,,,,,,,,,,,,,
298,부추,,,,,,,,,,,,,,,,,,
299,유정란/친환경,부추,,,,,,,,,,,,,,,,,
300,양파,참기름,대파,,,,,,,,,,,,,,,,
301,시금치,유기농저지방우유,깐마늘/난지형/유,황토숙주나물,당면,,,,,,,,,,,,,,
302,깐마늘/난지형/유,,,,,,,,,,,,,,,,,,
303,두부,백미/유,브로컬리,얼음식혜,검은콩두유,,,,,,,,,,,,,,
304,찌개용두부,,,,,,,,,,,,,,,,,,
305,얼갈이,황토숙주나물,,,,,,,,,,,,,,,,,
306,브로컬리,,,,,,,,,,,,,,,,,,
307,유정란/친환경,,,,,,,,,,,,,,,,,,
308,유정란/친환경,,,,,,,,,,,,,,,,,,
309,얼음식혜,검은콩두유,부추,,,,,,,,,,,,,,,,
310,콩국물,유정란/친환경,오이,,,,,,,,,,,,,,,,
311,양파,유기농저지방우유,깻잎,도토리묵,,,,,,,,,,,,,,,
312,참기름,,,,,,,,,,,,,,,,,,
313,콩나물,무,유기농저지방우유,양배추,,,,,,,,,,,,,,,
314,두부,동물복지유정란,,,,,,,,,,,,,,,,,
315,애호박,얼음식혜,,,,,,,,,,,,,,,,,
316,유정란/친환경,중파,,,,,,,,,,,,,,,,,
317,얼음식혜,검은콩두유,,,,,,,,,,,,,,,,,
318,유정란/친환경,대파,얼음식혜,검은콩두유,,,,,,,,,,,,,,,
319,유정란/친환경,,,,,,,,,,,,,,,,,,
320,검은콩두유,,,,,,,,,,,,,,,,,,
321,두부,명태참어묵,,,,,,,,,,,,,,,,,
322,사과/,상추,명태참어묵,,,,,,,,,,,,,,,,
323,유정란/친환경,,,,,,,,,,,,,,,,,,
324,두부,,,,,,,,,,,,,,,,,,
325,부추,,,,,,,,,,,,,,,,,,
326,콩나물,무,,,,,,,,,,,,,,,,,
327,두부,유정란/친환경,중파,,,,,,,,,,,,,,,,
