,0,1,2,3,4,5,6,7,8,9,10,11,12
551,두부,오이,방울토마토/대추형,당근,,,,,,,,,
552,양파,오이,당근,,,,,,,,,,
553,방울토마토/대추형,하늘바다새우,,,,,,,,,,,
554,유정란/친환경,오이,당근,하늘바다새우,,,,,,,,,
555,하늘바다새우,,,,,,,,,,,,
556,양파,애호박,,,,,,,,,,,
557,하늘바다새우,,,,,,,,,,,,
558,하늘바다새우,,,,,,,,,,,,
559,오이,상큼한감귤&한라봉,,,,,,,,,,,
560,두부,,,,,,,,,,,,
561,두부,,,,,,,,,,,,
562,연두부,유기농우유,,,,,,,,,,,
563,사과/,,,,,,,,,,,,
564,연두부,,,,,,,,,,,,
565,우유,,,,,,,,,,,,
566,상큼한포도,,,,,,,,,,,,
567,두부,,,,,,,,,,,,
568,두부,얼음식혜,,,,,,,,,,,
569,양파,브로컬리,,,,,,,,,,,
570,브로컬리,,,,,,,,,,,,
571,우유,,,,,,,,,,,,
572,브로컬리,누룽지,,,,,,,,,,,
573,백미/유,,,,,,,,,,,,
574,누룽지,유기농성이시돌목장우유,,,,,,,,,,,
575,유정란/친환경,상큼한감귤&한라봉,,,,,,,,,,,
576,연두부,브로컬리,누룽지,,,,,,,,,,
577,대파,,,,,,,,,,,,
578,콩나물,당근,,,,,,,,,,,
579,오이,,,,,,,,,,,,
580,유기농우유,,,,,,,,,,,,
581,브로컬리,,,,,,,,,,,,
582,두부,유정란/친환경,닭가슴살,,,,,,,,,,
583,오이,,,,,,,,,,,,
584,유기농우유,,,,,,,,,,,,
585,상큼한감귤&한라봉,,,,,,,,,,,,
586,오이,누룽지,,,,,,,,,,,
587,백미/유,,,,,,,,,,,,
588,오이,,,,,,,,,,,,
589,우유,,,,,,,,,,,,
590,중파,양배추,,,,,,,,,,,
591,콩나물,누룽지,상큼한감귤&한라봉,,,,,,,,,,
592,유기농성이시돌목장우유,,,,,,,,,,,,
593,유정란/친환경,,,,,,,,,,,,
594,어린잎채소,,,,,,,,,,,,
595,팽이버섯,,,,,,,,,,,,
596,오이,브로컬리,,,,,,,,,,,
597,누룽지,,,,,,,,,,,,
598,유기농우유,,,,,,,,,,,,
599,오이,청경채,,,,,,,,,,,
600,당근,하늘바다새우,상큼한포도,,,,,,,,,,
601,누룽지,,,,,,,,,,,,
602,유기농우유,,,,,,,,,,,,
603,유기농우유,,,,,,,,,,,,
604,두부,방울토마토/대추형,,,,,,,,,,,
605,방울토마토/대추형,,,,,,,,,,,,
