,회원번호,주문일시,전체물품명
348,50776448,2021-04-04,콩나물$팽이버섯$찌개용두부$부추
349,50776448,2021-04-09,유정란/친환경$참기름$찌개용두부
350,50776448,2021-04-25,유정란/친환경$당근
351,50776448,2021-04-28,오이$오이$콩나물$중파$중파
352,50776448,2021-05-03,시금치$닭가슴살
353,50776448,2021-05-12,떡국떡$양파
354,50776448,2021-05-19,오이$무$깐마늘/난지형/유$당근$찌개용두부
355,50776448,2021-05-26,유정란/친환경$양파$완숙토마토$찌개용두부$양배추
356,50776448,2021-05-29,유정란/친환경$오이$연두부$완숙토마토$백미/유$부추
357,50776448,2021-06-15,콩나물$사과/
358,50776448,2021-06-29,콩나물$찌개용두부
359,50776448,2021-07-07,콩국물$애호박$무$브로컬리$양배추
360,50776448,2021-07-10,유정란/친환경$콩나물$브로컬리$찌개용두부
361,50776448,2021-07-25,콩나물$양송이버섯
362,50776448,2021-07-28,닭가슴살
363,50776448,2021-08-10,콩나물
364,50776448,2021-08-13,오이
365,50776448,2021-08-23,콩국물$명태참어묵
366,50776448,2021-08-28,양파$완숙토마토$찌개용두부$양배추
367,50776448,2021-09-06,사과
368,50776448,2021-09-09,두부$유정란/친환경$콩나물
369,50776448,2021-09-18,동물복지유정란$황토숙주나물
370,50776448,2021-09-21,콩나물$팽이버섯$가지$당면$닭가슴살
371,50776448,2021-09-22,유정란/친환경$무$양배추
372,50776448,2021-10-01,두부$오이$완숙토마토
373,50776448,2021-10-09,유정란/친환경$시금치$깻잎
374,50776448,2021-10-10,사과
375,50776448,2021-10-11,떡국떡$시금치$완숙토마토$사과$양송이버섯
376,50776448,2021-10-17,유정란/친환경
377,50776448,2021-10-20,양파$콩나물$사과
378,50776448,2021-10-26,두부$무
379,51184768,2021-05-14,콩국물$유정란/친환경$누룽지$찌개용두부
380,51203328,2021-05-14,양파$찌개용두부
381,52558208,2021-01-02,쌈채소모음
382,52558208,2021-03-15,당근
383,52558208,2021-03-21,당근
384,52558208,2021-03-22,양파
385,52558208,2021-03-27,브로컬리$당근
386,52558208,2021-03-30,브로컬리
387,52558208,2021-04-09,두부$양파$닭가슴살
388,52558208,2021-04-11,대파$양송이버섯
389,52558208,2021-04-20,당근
390,52558208,2021-05-13,유정란/친환경$양파
391,52558208,2021-05-14,두부
392,52558208,2021-05-22,두부$유정란/친환경$양파$중파$닭가슴살
393,52558208,2021-05-26,유정란/친환경$닭가슴살
394,52558208,2021-06-16,두부$브로컬리$닭가슴살
395,52558208,2021-06-27,브로컬리$양송이버섯$닭가슴살
396,52558208,2021-07-13,유정란/친환경$완숙토마토
397,52558208,2021-07-18,유정란/친환경
398,52558208,2021-07-28,브로컬리
399,52558208,2021-08-01,유정란/친환경$콩나물$방울토마토/대추형$브로컬리
400,52558208,2021-08-05,방울토마토/대추형$브로컬리$가지
401,52558208,2021-08-06,완숙토마토$사과
402,52558208,2021-08-09,콩나물$콩나물$깻잎$깻잎
403,52558208,2021-08-14,양송이버섯
404,52558208,2021-08-15,무$사과
405,52558208,2021-08-22,완숙토마토
406,52558208,2021-08-29,완숙토마토$완숙토마토$당근$당근$깻잎$깻잎
407,52558208,2021-09-03,콩나물$가지
408,52558208,2021-09-05,가지$사과
409,52558208,2021-09-10,콩나물$브로컬리$찌개용두부$가지
410,52558208,2021-09-17,브로컬리
411,52558208,2021-09-19,사과
412,52558208,2021-09-20,찌개용두부$양송이버섯
413,52558208,2021-09-21,상추$사과$깻잎$양송이버섯
414,52558208,2021-09-27,백미/유
415,52558208,2021-10-13,유정란/친환경$얼갈이
416,52558208,2021-10-14,사과
417,52558208,2021-10-31,양파$애호박$당근
418,52821760,2021-01-02,유정란/친환경$누룽지
419,52821760,2021-01-13,사과/$깐마늘/난지형/유$팽이버섯
420,52821760,2021-02-10,유정란/친환경$누룽지$당근$팽이버섯
421,52821760,2021-02-15,떡국떡
422,52821760,2021-03-03,명태참어묵$양배추
423,52821760,2021-03-13,콩나물$시금치$대파
424,52821760,2021-04-06,유정란/친환경$사과/$누룽지
425,52821760,2021-04-10,팽이버섯
426,52821760,2021-04-21,오이
427,52821760,2021-05-26,유정란/친환경$오이
428,52821760,2021-06-10,유정란/친환경$완숙토마토$누룽지
429,52821760,2021-07-24,상추
430,52821760,2021-07-28,오이$연두부$브로컬리
431,52821760,2021-08-04,유정란/친환경
432,52886720,2021-01-22,콩나물$찌개용두부
433,52886720,2021-02-21,연두부$대파$찌개용두부
434,52886720,2021-04-12,찌개용두부
435,52886720,2021-04-22,두부$중파$찌개용두부
436,52886720,2021-04-25,떡국떡
437,52886720,2021-04-30,오이
438,52886720,2021-06-01,당근
439,52886720,2021-07-11,유정란/친환경
440,52886720,2021-07-13,두부$유정란/친환경$중파
441,52886720,2021-08-03,중파
442,52886720,2021-08-20,콩나물$찌개용두부
443,52886720,2021-09-19,두부$동물복지유정란
444,52886720,2021-09-27,두부$연두부$찌개용두부$양배추
445,52886720,2021-10-12,두부$유정란/친환경$연두부
446,52886720,2021-10-13,두부$유정란/친환경
447,52953536,2021-02-12,동물복지유정란
448,52953536,2021-02-13,찌개용두부
449,52953536,2021-03-30,유정란/친환경
450,52953536,2021-07-03,애호박
451,52953536,2021-07-04,유정란/친환경$시금치
452,52953536,2021-08-07,유정란/친환경$양배추
453,52953536,2021-08-14,유정란/친환경$오이
454,53367424,2021-01-08,오분도미/유$당근$대파$명태참어묵$양배추
455,53367424,2021-01-11,콩나물$누룽지
456,53367424,2021-01-17,당근$월동무$대파
457,53367424,2021-01-20,시금치
458,53367424,2021-01-23,깻잎
459,53367424,2021-01-24,당근$대파
460,53367424,2021-01-27,사과/$당근
461,53367424,2021-01-30,콩나물$시금치$시금치$브로컬리$대파$느타리버섯
462,53367424,2021-02-01,월동무
463,53367424,2021-02-08,대파
464,53367424,2021-02-14,콩나물$시금치$어린잎채소$대파$황토숙주나물$느타리버섯
465,53367424,2021-02-24,당근
466,53367424,2021-02-26,찹쌀백미/유
467,53367424,2021-03-13,콩나물$누룽지
468,53367424,2021-03-19,도토리묵
469,53367424,2021-03-21,닭가슴살
470,53367424,2021-03-26,참기름$깐마늘/난지형/유$얼갈이$도토리묵
471,53367424,2021-04-07,오이$당근$부추
472,53367424,2021-04-14,양파$명태참어묵
473,53367424,2021-04-16,양배추
474,53367424,2021-04-25,오이$누룽지$당근$부추
475,53367424,2021-05-10,두부$오분도미/유$완숙토마토$얼갈이$도토리묵
476,53367424,2021-05-28,콩국물$두부$콩나물$어린잎채소$완숙토마토$가지
477,53367424,2021-06-04,당근
478,53367424,2021-06-06,애호박$부추
479,53367424,2021-06-10,양파$얼갈이
480,53367424,2021-06-26,두부$콩나물
481,53367424,2021-07-01,오이
482,53367424,2021-07-07,애호박
483,53367424,2021-07-09,중파$감자라면$닭가슴살
484,53367424,2021-07-14,오이$느타리버섯
485,53367424,2021-07-22,깐마늘/난지형/유$가지
486,53367424,2021-07-23,양배추
487,53367424,2021-07-29,애호박$가지
488,53367424,2021-08-05,가지
489,53367424,2021-08-14,오이$무$중파
490,53367424,2021-08-18,양파
491,53367424,2021-08-21,애호박$가지
492,53367424,2021-08-25,두부$가지
493,53367424,2021-08-29,오이$누룽지$가지$도토리묵
494,53367424,2021-09-19,두부$콩나물$애호박$애호박$깐마늘/난지형/유$중파$중파
495,53367424,2021-09-23,얼음식혜
496,53367424,2021-09-27,가지
497,53367424,2021-10-02,가지
498,53367424,2021-10-09,애호박
499,53367424,2021-10-15,참기름$부추$도토리묵
500,53367424,2021-10-22,양파$무$닭가슴살
501,53367424,2021-10-25,명태참어묵
502,53367424,2021-10-29,두부
503,53367424,2021-10-30,애호박
504,53465792,2021-01-03,떡국떡
505,53465792,2021-01-17,떡국떡
506,53465792,2021-01-23,떡국떡
507,53465792,2021-02-12,떡국떡
508,53465792,2021-02-21,브로컬리
509,55455424,2021-01-08,유정란/친환경
510,55455424,2021-09-10,사과
511,56530048,2021-03-09,사과/$찌개용두부
512,56530048,2021-03-20,유정란/친환경$양배추
513,56530048,2021-04-23,유정란/친환경
514,56530048,2021-06-05,찌개용두부
515,56530048,2021-06-22,양배추
516,56530048,2021-09-07,찌개용두부
517,56530048,2021-09-20,유정란/친환경$찌개용두부
518,56530048,2021-09-22,유정란/친환경$가지
519,56570880,2021-03-01,명태참어묵$양배추
520,56570880,2021-04-09,양파$감자라면
521,56570880,2021-04-14,오이
522,56570880,2021-05-30,동물복지유정란
523,56570880,2021-06-25,두부$오이$완숙토마토$브로컬리$깐마늘/난지형/유$당근$가지
524,56570880,2021-07-04,유정란/친환경$깻잎
525,56570880,2021-07-12,두부$오이
526,56570880,2021-07-23,방울토마토/대추형$찌개용두부$가지
527,56570880,2021-07-30,유정란/친환경$유정란/친환경$방울토마토/대추형$방울토마토/대추형$찌개용두부
528,56570880,2021-08-09,방울토마토/대추형$가지$깻잎
529,56570880,2021-08-13,방울토마토/대추형$유기농저지방우유
530,56570880,2021-08-17,콩나물$중파$팽이버섯
531,56570880,2021-08-30,유정란/친환경
532,56570880,2021-09-01,오이$콩나물
